id,pop,state,lat,lon,state,city
02050,21782,MA,-70.69931,42.106177,MA,MARSHFIELD
02052,10531,MA,-71.304813,42.184525,MA,MEDFIELD
02053,9902,MA,-71.421715,42.151363,MA,MEDWAY
02054,7613,MA,-71.360693,42.166938,MA,MILLIS
02056,9259,MA,-71.326934,42.117746,MA,NORFOLK
02061,9279,MA,-70.82172,42.159574,MA,NORWELL
02062,28700,MA,-71.203313,42.186843,MA,NORWOOD
02066,16535,MA,-70.752476,42.203235,MA,SCITUATE
02067,15873,MA,-71.175872,42.109388,MA,SHARON
02071,752,MA,-71.275235,42.099203,MA,SOUTH WALPOLE
02072,26777,MA,-71.107357,42.125279,MA,STOUGHTON
02081,15615,MA,-71.254391,42.144413,MA,WALPOLE
02090,12557,MA,-71.210426,42.214824,MA,WESTWOOD
02093,9006,MA,-71.339568,42.061746,MA,WRENTHAM
02108,3697,MA,-71.068432,42.357603,MA,BOSTON
02109,3926,MA,-71.053386,42.362963,MA,BOSTON
02110,957,MA,-71.051417,42.357636,MA,BOSTON
02111,3759,MA,-71.0629,42.350348,MA,BOSTON
02113,6698,MA,-71.055958,42.365656,MA,BOSTON
02114,10246,MA,-71.06823,42.361111,MA,BOSTON
02115,25597,MA,-71.092215,42.342706,MA,BOSTON
02116,17459,MA,-71.076798,42.349201,MA,BOSTON
02118,21914,MA,-71.075627,42.340154,MA,ROXBURY
02119,25207,MA,-71.086923,42.322414,MA,ROXBURY
02120,14212,MA,-71.097978,42.332844,MA,ROXBURY
02121,25602,MA,-71.08305,42.307503,MA,DORCHESTER
02122,21266,MA,-71.058304,42.297278,MA,DORCHESTER
02124,48560,MA,-71.072898,42.287984,MA,DORCHESTER
02125,31393,MA,-71.061924,42.315305,MA,DORCHESTER
02126,27808,MA,-71.093871,42.273889,MA,MATTAPAN
02127,29170,MA,-71.043792,42.333454,MA,SOUTH BOSTON
02128,32941,MA,-71.028682,42.378137,MA,EAST BOSTON
02129,14775,MA,-71.062715,42.377815,MA,CHARLESTOWN
02130,36571,MA,-71.111495,42.312596,MA,JAMAICA PLAIN
02131,32677,MA,-71.129543,42.283615,MA,ROSLINDALE
02132,26366,MA,-71.158868,42.27868,MA,WEST ROXBURY
02134,23775,MA,-71.132866,42.353519,MA,ALLSTON
02135,35011,MA,-71.156599,42.34779,MA,BRIGHTON
02136,24260,MA,-71.126052,42.253989,MA,HYDE PARK
02138,33841,MA,-71.125611,42.377045,MA,CAMBRIDGE
02139,33149,MA,-71.104155,42.364688,MA,CAMBRIDGE
02140,16313,MA,-71.129379,42.391366,MA,NORTH CAMBRIDGE
02141,10392,MA,-71.088277,42.370701,MA,EAST CAMBRIDGE
02142,1336,MA,-71.083011,42.362025,MA,CAMBRIDGE
02143,25597,MA,-71.102814,42.382945,MA,SOMERVILLE
02144,26374,MA,-71.122059,42.40032,MA,SOMERVILLE
02145,24422,MA,-71.092944,42.390678,MA,SOMERVILLE
02146,56614,MA,-71.128917,42.339158,MA,BROOKLINE
02148,54114,MA,-71.060507,42.42911,MA,MALDEN
02149,35493,MA,-71.051448,42.411199,MA,EVERETT
02150,28790,MA,-71.032521,42.396252,MA,CHELSEA
02151,42766,MA,-71.005165,42.413767,MA,REVERE
02152,18907,MA,-70.980043,42.376294,MA,WINTHROP
